20:24:12    kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
20:24:17       191132   7397016     97,48    171272   1176860  13135404     85,23   3993004   1428436      3324

20:24:12          DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
20:24:17       dev7-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:17       dev7-1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:17       dev7-2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:17       dev7-3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:17       dev7-4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:17       dev7-5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:17       dev7-6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:17       dev7-7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:17       dev8-0     60,68     38,32   1655,89     27,92      0,29      4,82      2,03     12,30
20:24:17      dev11-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:17     dev253-0    173,05     25,55   1652,69      9,70      0,56      3,25      0,68     11,82
20:24:17     dev253-1      1,60     12,77      0,00      8,00      0,02     10,00      3,50      0,56

20:24:12        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
20:24:17        ens33     83,43     53,89     71,28     63,42      0,00      0,00      0,00      0,06
20:24:17    veth0119560    317,17    317,76     94,23     57,12      0,00      0,00      0,00      0,01
20:24:17    veth141eb73    604,59    597,41    183,15    200,18      0,00      0,00      0,00      0,02
20:24:17    vethdfc607f    594,21    585,83    179,29    198,01      0,00      0,00      0,00      0,02
20:24:17      docker0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:17    veth10aaab2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:17    veth3ab407b    315,57    315,37     93,62     56,75      0,00      0,00      0,00      0,01
20:24:17           lo    156,49    156,49    216,51    216,51      0,00      0,00      0,00      0,00
20:24:17    vethb1eb094    240,92    246,11     47,38     52,88      0,00      0,00      0,00      0,00
20:24:17    veth957bc21    233,73    237,13     46,00     50,14      0,00      0,00      0,00      0,00
20:24:17    veth7f20925     72,06     74,45    147,65     50,48      0,00      0,00      0,00      0,01
20:24:17    br-bd61e146aaf4    115,77    111,58    193,96     69,77      0,00      0,00      0,00      0,00

20:24:17        CPU     %user     %nice   %system   %iowait    %steal     %idle
20:24:22        all     48,42      0,00     34,11      0,84      0,00     16,63

20:24:17          tps      rtps      wtps   bread/s   bwrtn/s
20:24:22        49,40      3,80     45,60    299,20   1372,80

20:24:17    kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
20:24:22       198548   7389600     97,38    171596   1179220  13024268     84,51   3984420   1429484      4012

20:24:17          DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
20:24:22       dev7-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:22       dev7-1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:22       dev7-2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:22       dev7-3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:22       dev7-4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:22       dev7-5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:22       dev7-6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:22       dev7-7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:22       dev8-0     51,40    299,20   1403,20     33,12      0,20      3,88      1,88      9,68
20:24:22      dev11-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:22     dev253-0    156,40    281,60   1428,80     10,94      0,45      2,87      0,58      9,12
20:24:22     dev253-1      2,20     17,60      0,00      8,00      0,01      6,55      2,55      0,56

20:24:17        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
20:24:22        ens33     70,00     38,40     59,46     42,12      0,00      0,00      0,00      0,05
20:24:22    veth0119560    311,80    324,00     91,40     53,45      0,00      0,00      0,00      0,01
20:24:22    veth141eb73    573,40    552,40    154,50    172,95      0,00      0,00      0,00      0,01
20:24:22    vethdfc607f    609,40    590,40    161,34    179,62      0,00      0,00      0,00      0,01
20:24:22      docker0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:22    veth10aaab2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:22    veth3ab407b    320,40    331,80     94,87     54,92      0,00      0,00      0,00      0,01
20:24:22           lo    109,60    109,60    149,42    149,42      0,00      0,00      0,00      0,00
20:24:22    vethb1eb094    213,60    219,60     42,12     50,92      0,00      0,00      0,00      0,00
20:24:22    veth957bc21    241,20    245,80     45,20     56,17      0,00      0,00      0,00      0,00
20:24:22    veth7f20925     53,40     55,00     98,97     35,10      0,00      0,00      0,00      0,01
20:24:22    br-bd61e146aaf4     86,20     82,00    132,75     48,65      0,00      0,00      0,00      0,00

20:24:22        CPU     %user     %nice   %system   %iowait    %steal     %idle
20:24:27        all     53,87      0,00     31,20      0,68      0,00     14,25

20:24:22          tps      rtps      wtps   bread/s   bwrtn/s
20:24:27        31,40      0,00     31,40      0,00    875,20

20:24:22    kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
20:24:27       176656   7411492     97,67    171836   1180212  13034992     84,58   4004236   1430224      4428

20:24:22          DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
20:24:27       dev7-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:27       dev7-1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:27       dev7-2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:27       dev7-3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:27       dev7-4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:27       dev7-5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:27       dev7-6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:27       dev7-7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:27       dev8-0     29,60      0,00    878,40     29,68      0,13      4,54      2,38      7,04
20:24:27      dev11-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:27     dev253-0     90,20      0,00    852,80      9,45      0,33      3,63      0,78      7,04
20:24:27     dev253-1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00

20:24:22        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
20:24:27        ens33     32,80     21,00     26,50     21,77      0,00      0,00      0,00      0,02
20:24:27    veth0119560    189,20    195,00     53,44     31,78      0,00      0,00      0,00      0,00
20:24:27    veth141eb73    379,20    365,60     97,43    105,37      0,00      0,00      0,00      0,01
20:24:27    vethdfc607f    367,60    364,20     95,50    103,23      0,00      0,00      0,00      0,01
20:24:27      docker0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:27    veth10aaab2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:27    veth3ab407b    193,60    192,40     52,04     31,36      0,00      0,00      0,00      0,00
20:24:27           lo     90,40     90,40    109,12    109,12      0,00      0,00      0,00      0,00
20:24:27    vethb1eb094    155,80    162,60     31,62     31,99      0,00      0,00      0,00      0,00
20:24:27    veth957bc21    149,60    153,40     30,86     30,47      0,00      0,00      0,00      0,00
20:24:27    veth7f20925     43,20     40,60     50,70     34,16      0,00      0,00      0,00      0,00
20:24:27    br-bd61e146aaf4     72,00     67,60     84,32     42,06      0,00      0,00      0,00      0,00

20:24:27        CPU     %user     %nice   %system   %iowait    %steal     %idle
20:24:32        all     45,80      0,00     35,55      0,95      0,00     17,70

20:24:27          tps      rtps      wtps   bread/s   bwrtn/s
20:24:32        64,20      1,20     63,00     19,20   2235,20

20:24:27    kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
20:24:32       149932   7438216     98,02    172192   1182136  13162860     85,41   4030540   1430852      3604

20:24:27          DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
20:24:32       dev7-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:32       dev7-1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:32       dev7-2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:32       dev7-3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:32       dev7-4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:32       dev7-5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:32       dev7-6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:32       dev7-7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:32       dev8-0     64,00     19,20   2201,60     34,70      0,26      4,14      1,66     10,64
20:24:32      dev11-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:32     dev253-0    167,00      3,20   2201,60     13,20      0,56      3,33      0,60     10,00
20:24:32     dev253-1      2,00     16,00      0,00      8,00      0,02      8,00      4,00      0,80

20:24:27        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
20:24:32        ens33     88,20     53,60     77,46     64,07      0,00      0,00      0,00      0,06
20:24:32    veth0119560    357,40    372,00    105,22     62,85      0,00      0,00      0,00      0,01
20:24:32    veth141eb73    655,20    637,00    186,68    209,53      0,00      0,00      0,00      0,02
20:24:32    vethdfc607f    589,60    599,80    178,55    200,80      0,00      0,00      0,00      0,02
20:24:32      docker0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:32    veth10aaab2      0,00      0,20      0,00      0,01      0,00      0,00      0,00      0,00
20:24:32    veth3ab407b    332,40    323,40     98,76     57,93      0,00      0,00      0,00      0,01
20:24:32           lo    127,60    127,60    189,91    189,91      0,00      0,00      0,00      0,00
20:24:32    vethb1eb094    245,20    248,00     45,93     57,40      0,00      0,00      0,00      0,00
20:24:32    veth957bc21    229,80    229,80     43,45     54,12      0,00      0,00      0,00      0,00
20:24:32    veth7f20925     61,20     62,60    147,11     35,64      0,00      0,00      0,00      0,01
20:24:32    br-bd61e146aaf4     96,20     96,80    181,00     54,81      0,00      0,00      0,00      0,00

20:24:32        CPU     %user     %nice   %system   %iowait    %steal     %idle
20:24:37        all     48,62      0,00     31,57      1,48      0,00     18,33

20:24:32          tps      rtps      wtps   bread/s   bwrtn/s
20:24:37        71,00      1,20     69,80      9,60   3078,40

20:24:32    kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
20:24:37       162232   7425916     97,86    172640   1184328  13043032     84,63   4015948   1432460      1660

20:24:32          DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
20:24:37       dev7-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:37       dev7-1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:37       dev7-2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:37       dev7-3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:37       dev7-4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:37       dev7-5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:37       dev7-6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:37       dev7-7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:37       dev8-0     71,00      9,60   3078,40     43,49      0,27      3,80      1,84     13,04
20:24:37      dev11-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:37     dev253-0    206,20      0,00   3078,40     14,93      0,56      2,69      0,60     12,32
20:24:37     dev253-1      1,20      9,60      0,00      8,00      0,01      8,00      8,00      0,96

20:24:32        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
20:24:37        ens33     86,20     56,80     73,20     64,79      0,00      0,00      0,00      0,06
20:24:37    veth0119560    379,40    401,40    109,20     66,92      0,00      0,00      0,00      0,01
20:24:37    veth141eb73    714,40    679,80    202,34    221,35      0,00      0,00      0,00      0,02
20:24:37    vethdfc607f    744,40    721,80    209,28    231,86      0,00      0,00      0,00      0,02
20:24:37      docker0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:37    veth10aaab2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:37    veth3ab407b    388,40    407,60    115,32     69,58      0,00      0,00      0,00      0,01
20:24:37           lo    165,00    165,00    226,23    226,23      0,00      0,00      0,00      0,00
20:24:37    vethb1eb094    263,60    269,00     53,10     60,22      0,00      0,00      0,00      0,00
20:24:37    veth957bc21    290,80    292,40     56,84     64,46      0,00      0,00      0,00      0,01
20:24:37    veth7f20925     66,40     80,40    148,40     52,52      0,00      0,00      0,00      0,01
20:24:37    br-bd61e146aaf4    114,40    119,40    199,03     73,03      0,00      0,00      0,00      0,00

20:24:37        CPU     %user     %nice   %system   %iowait    %steal     %idle
20:24:42        all     44,57      0,00     33,70      1,85      0,00     19,87

20:24:37          tps      rtps      wtps   bread/s   bwrtn/s
20:24:42        58,80      0,80     58,00      6,40   1907,20

20:24:37    kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
20:24:42       154112   7434036     97,97    173020   1186268  13052476     84,69   4022100   1433704      2340

20:24:37          DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
20:24:42       dev7-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:42       dev7-1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:42       dev7-2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:42       dev7-3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:42       dev7-4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:42       dev7-5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:42       dev7-6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:42       dev7-7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:42       dev8-0     58,80      6,40   1907,20     32,54      0,25      4,18      2,07     12,16
20:24:42      dev11-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:42     dev253-0    193,40      0,00   1912,00      9,89      0,64      3,32      0,60     11,60
20:24:42     dev253-1      0,80      6,40      0,00      8,00      0,01      9,00      9,00      0,72

20:24:37        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
20:24:42        ens33     85,80     52,80     75,77     61,65      0,00      0,00      0,00      0,06
20:24:42    veth0119560    377,40    414,20    113,83     66,37      0,00      0,00      0,00      0,01
20:24:42    veth141eb73    745,00    700,80    188,39    227,27      0,00      0,00      0,00      0,02
20:24:42    vethdfc607f    712,40    689,40    185,76    225,71      0,00      0,00      0,00      0,02
20:24:42      docker0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:42    veth10aaab2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:42    veth3ab407b    365,20    377,00    112,24     63,76      0,00      0,00      0,00      0,01
20:24:42           lo    157,60    157,60    187,35    187,35      0,00      0,00      0,00      0,00
20:24:42    vethb1eb094    287,60    293,20     56,79     63,09      0,00      0,00      0,00      0,01
20:24:42    veth957bc21    288,60    295,40     56,82     62,89      0,00      0,00      0,00      0,01
20:24:42    veth7f20925     68,40     73,80    147,72     52,13      0,00      0,00      0,00      0,01
20:24:42    br-bd61e146aaf4    111,40    110,60    166,61     67,81      0,00      0,00      0,00      0,00

20:24:42        CPU     %user     %nice   %system   %iowait    %steal     %idle
20:24:47        all     48,24      0,00     35,55      1,10      0,00     15,10

20:24:42          tps      rtps      wtps   bread/s   bwrtn/s
20:24:47        43,20      1,00     42,20      8,00   1334,40

20:24:42    kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
20:24:47       162224   7425924     97,86    172848   1153684  13113372     85,09   4021012   1425120      3392

20:24:42          DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
20:24:47       dev7-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:47       dev7-1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:47       dev7-2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:47       dev7-3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:47       dev7-4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:47       dev7-5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:47       dev7-6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:47       dev7-7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:47       dev8-0     43,20      8,00   1334,40     31,07      0,16      3,70      1,91      8,24
20:24:47      dev11-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:47     dev253-0    141,20      1,60   1329,60      9,43      0,39      2,76      0,54      7,60
20:24:47     dev253-1      0,80      6,40      0,00      8,00      0,01      8,00      8,00      0,64

20:24:42        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
20:24:47        ens33     70,00     46,00     58,88     46,24      0,00      0,00      0,00      0,05
20:24:47    veth0119560    385,60    397,40    112,97     67,43      0,00      0,00      0,00      0,01
20:24:47    veth141eb73    710,60    691,60    200,11    207,80      0,00      0,00      0,00      0,02
20:24:47    vethdfc607f    756,60    725,00    208,65    217,99      0,00      0,00      0,00      0,02
20:24:47      docker0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:47    veth10aaab2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:47    veth3ab407b    392,40    416,20    118,39     71,02      0,00      0,00      0,00      0,01
20:24:47           lo    149,00    149,00    197,37    197,37      0,00      0,00      0,00      0,00
20:24:47    vethb1eb094    273,60    276,00     51,43     65,20      0,00      0,00      0,00      0,01
20:24:47    veth957bc21    300,60    303,60     56,24     69,34      0,00      0,00      0,00      0,01
20:24:47    veth7f20925     52,40     52,40     98,95     36,54      0,00      0,00      0,00      0,01
20:24:47    br-bd61e146aaf4    104,60     95,00    168,30     58,34      0,00      0,00      0,00      0,00

20:24:47        CPU     %user     %nice   %system   %iowait    %steal     %idle
20:24:52        all     49,32      0,00     33,19      0,95      0,00     16,54

20:24:47          tps      rtps      wtps   bread/s   bwrtn/s
20:24:52        40,60      0,80     39,80      6,40   1313,60

20:24:47    kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
20:24:52       124996   7463152     98,35    173156   1155244  13226564     85,82   4057976   1426172      4212

20:24:47          DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
20:24:52       dev7-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:52       dev7-1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:52       dev7-2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:52       dev7-3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:52       dev7-4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:52       dev7-5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:52       dev7-6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:52       dev7-7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:52       dev8-0     40,60      6,40   1313,60     32,51      0,15      3,76      2,03      8,24
20:24:52      dev11-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:52     dev253-0    140,00      0,00   1313,60      9,38      0,47      3,27      0,55      7,68
20:24:52     dev253-1      0,80      6,40      0,00      8,00      0,01      8,00      8,00      0,64

20:24:47        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
20:24:52        ens33     60,80     38,80     51,65     44,04      0,00      0,00      0,00      0,04
20:24:52    veth0119560    295,80    301,60     84,16     49,60      0,00      0,00      0,00      0,01
20:24:52    veth141eb73    536,80    523,00    146,03    163,36      0,00      0,00      0,00      0,01
20:24:52    vethdfc607f    468,80    471,60    136,18    152,16      0,00      0,00      0,00      0,01
20:24:52      docker0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:52    veth10aaab2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
20:24:52    veth3ab407b    265,00    255,20     77,10     44,24      0,00      0,00      0,00      0,01
